,series_title,primary_work_count,series_work_count,series_description,link
476,Sir Roger Shallot,6,6,"Sir Roger Shallot, agent of Cardinal Wolsey in England:",https://www.goodreads.com/series/42888-sir-roger-shallot
477,Inspector Carlyle,11,15,"John Carlyle, an inspector in the Metropolitan Police, in London, England:",https://www.goodreads.com/series/72209-inspector-carlyle
478,Sheridan Haynes,2,2,"Sheridan Haynes, a Sherlock Holmes actor, in England:",https://www.goodreads.com/series/44850-sheridan-haynes
479,Commissaire Adamsberg,11,14,"Jean-Baptiste Adamsberg, commissioner of police (chief inspector), in Paris, France:",https://www.goodreads.com/series/49958-commissaire-adamsberg
480,Ellery Queen Detective,35,49,"Ellery Queen is both a fictional character and a pseudonym used by two American cousins from Brooklyn, New York: Daniel Nathan, alias Frederic Dannay and Manford (Emanuel) Lepofsky, alias Manfred Bennington Lee. In a successful series of novels that covered 42 years, Ellery Queen served as both author's name and that of the detective-hero. - ",https://www.goodreads.com/series/54746-ellery-queen-detective
481,Tim Simpson,15,15,"Tim Simpson, a financial consultant turned art investment specialist in London, England:",https://www.goodreads.com/series/67945-tim-simpson
482,Lloyd & Hill,13,13,"Chief Inspector Lloyd and Inspector Judy Hill, cops and lovers in East Anglia, England:",https://www.goodreads.com/series/67642-lloyd-hill
483,Aimee Leduc Investigations,17,17,"Aimee Leduc, a chic, no-nonsense computer hacker turned Parisian private investigator extraordinare, hunts down murderers in Cara Black's New York Times bestselling series.",https://www.goodreads.com/series/59489-aimee-leduc-investigations
484,Wedding Cake Mystery,4,6,"Piper Donovan, a struggling actress taking over the family baking business in the Wedding Cake mysteries:",https://www.goodreads.com/series/53264-wedding-cake-mysteries
485,Skyler Foxe Mysteries,7,10,"This M/M romantic mystery series follows the teaching and unwitting sleuthing career of Skyler Foxe, high school English teacher.",https://www.goodreads.com/series/60472-skyler-foxe-mysteries
486,Shetland Island,7,9,"This series features Inspector Jimmy Perez, and is set in and around the Shetland Islands.",https://www.goodreads.com/series/54148-shetland-island
487,Robin Light,10,10,"Robin Light, a pet store owner in Syracuse, New York:",https://www.goodreads.com/series/72340-robin-light
488,Hollywood Headlines,4,7,The Hollywood Headlines series of romantic mysteries feature tabloid magazine L.A. Informer editor Felix Dunn.,https://www.goodreads.com/series/52145-hollywood-headlines
489,Common Law,4,4,"Jericho Crewe escaped from Mosely, Montana, when he was seventeen and built a new life for himself, first as a Marine, then as an LA police officer. Fifteen years later, he's back, and everything is just as confusing as it was before he left. Especially Wade Granger. Wade's still a rebel, still a criminal, and still dangerously fascinating. As Jericho digs deeper into the town's underbelly, he has to decide whether Wade's the worst the town has to offer, or the only part of Mosely worth saving.",https://www.goodreads.com/series/192004-common-law
490,DI Mariner,8,9,"Tom Mariner, a detective inspector in Birmingham, England:",https://www.goodreads.com/series/94167-di-mariner
491,Ryan Mitchell,7,7,"Ryan Mitchell, ex-military, works for Polaris Operations (Global) a discreet, private organization that specialized in unique problem solving, and military, police, and civilian training, along with consulting services that would go anywhere in the world at a moment's notice. He goes from one adventure to another.",https://www.goodreads.com/series/134497-ryan-mitchell
492,The Gower Street Detective,5,5,"Sidney Grice, London's most famous personal detective, and his goddaughter and ward, March Middleton, in 1880s London, England. Also known: * Le indagini dei detective di Gower St.",https://www.goodreads.com/series/113852-the-gower-street-detective
493,A Change of Fortune Mystery,2,2,"Young clairvoyant Ruby Proulx begins a new life at her aunt's hotel in Maine, where her spiritual powers help her solve strange and deadly occurrences, in this dazzling new historical mystery series.",https://www.goodreads.com/series/187129-a-change-of-fortune-mystery
494,Wind River Reservation,21,21,"John Aloysius O'Malley, a Jesuit missionary, and Vicky Holden, an Arapaho attorney, on the Wind River Reservation, Wyoming:",https://www.goodreads.com/series/42367-wind-river-reservation
495,Smoky Barrett,5,7,"Smoky Barrett, an FBI agent who was badly scarred by a serial killer, in Los Angeles, California:",https://www.goodreads.com/series/43587-smoky-barrett
496,Dido Kent,4,4,Historical mysteries set in England in the early 1800s.,https://www.goodreads.com/series/54943-dido-kent
497,Peter Decker/Rina Lazarus,24,29,Peter Decker is a lieutenant in the LAPD. Decker is assisted in solving crimes by his Orthodox Jewish wife Rina Lazarus.,https://www.goodreads.com/series/40352-peter-decker-rina-lazarus
498,The China Thrillers,7,7,"Li Yan, a Chinese detective, and Margaret Campbell, an American pathologist, in Beijing, China:",https://www.goodreads.com/series/70670-the-china-thrillers
499,What Doesn't Kill You,11,13,Katie & Annalise Emily Michelle Ava Laura,https://www.goodreads.com/series/172688-what-doesn-t-kill-you
500,Jayne Frost,4,4,A spin off mystery series from the Nocturne Falls novels. This series can be read separately or enjoyed along side the original.,https://www.goodreads.com/series/174743-jayne-frost
501,Daisy McDare,8,17,"Cozy mystery series set in Cozy Creek nestled along the Pacific Coast. Interior decorator Daisy McDare recruits her cupcake-baking best friend Samantha, wise-cracking Granny Annie, and her feisty West Highland Terrier Shamus to solve murder mysteries in their quaint tourist town.",https://www.goodreads.com/series/143752-daisy-mcdare
502,Sam Acquillo Hamptons Mystery,7,7,"Sam Acquillo, a 50-something, retired engineer, in Southampton, Long Island, New York:",https://www.goodreads.com/series/57935-sam-acquillo-hamptons-mystery
503,Cambridge Fellows,13,15,"If the men of St. Bride's College knew what Jonty Stewart and Orlando Coppersmith got up to behind closed doors, the scandal would rock early-20th-century Cambridge to its core. But the truth is, when they're not busy teaching literature and mathematics, the most daring thing about them isn't their love for each other--it's their hobby of amateur sleuthing. Because wherever Jonty and Orlando go, trouble seems to find them. Sunny, genial Jonty and prickly, taciturn Orlando may seem like opposites. But their balance serves them well as they sift through clues to crimes, and sort through their own emotions to grow closer. But at the end of the day, they always find the truth . . . and their way home together.",https://www.goodreads.com/series/46460-cambridge-fellows-mysteries
504,Claudia Seferius,13,18,"Claudia Seferius, a vineyard owner in 1st century Rome, Italy:",https://www.goodreads.com/series/40927-claudia-seferius
505,Pru Marlowe,6,6,"Pru Marlowe, an animal psychic returning to her hometown in the Berkshires, New York:",https://www.goodreads.com/series/62836-pru-marlowe
506,Sofie Metropolis,6,6,"Sofie Metropolis, a Greek-American private investigator, in Queens, New York City:",https://www.goodreads.com/series/52010-sofie-metropolis
507,Bill Crane,5,5,"Bill Crane, a private detective in Chicago, Illinois:",https://www.goodreads.com/series/70326-bill-crane
508,Lacey Flint,4,6,"Lacey Flint, a young detective constable in London, England.",https://www.goodreads.com/series/79171-lacey-flint
509,Pennyfoot Hotel,22,23,"WELCOME TO THE PENNYFOOT The London aristocracy has discovered the pleasures of seaside holidays in Badgers End, and it's Cecily Sinclair's job as the owner of the Pennyfoot Hotel to keep them comfortable and entertained. Detective work is not part of her duties--but Cecily is only too willing to help the local constable when death pays an unexpected visit...",https://www.goodreads.com/series/42527-pennyfoot-hotel
510,Seamus McCree,4,4,Series order is the reading order according to the author.,https://www.goodreads.com/series/130684-seamus-mccree
511,A Savannah Reid Mystery,23,23,Plus-sized P.I. Savannah Reid prides herself on cracking even the toughest cases,https://www.goodreads.com/series/56346-a-savannah-reid-mystery
512,Breen and Tozer,4,4,Detective Sergeant Cathal Breen and WPC Tozer in London in the sixties:,https://www.goodreads.com/series/161689-breen-and-tozer
513,A White House Chef Mystery,9,10,"Olivia (Ollie) Paras, White House assistant chef in Washington DC, in the White House Chef mysteries:",https://www.goodreads.com/series/52710-a-white-house-chef-mystery
514,Agents Under Fire,2,2,Book 1: Web of Deceit featuring Kait Knight March 5 - 2015 Book 2: Web of Shadows featuring Nina Brandt December - 2015 Book 3: Web of Lies featuring Becca Lange Coming - 2016,https://www.goodreads.com/series/92170-agents-under-fire
515,Inspector Morse,14,27,Detective Chief Inspector Morse is a senior Criminal Investigation Department (CID) officer with the Thames Valley Police in Oxford (England).,https://www.goodreads.com/series/50464-inspector-morse
516,Virtue Falls,5,9,"In this ""remarkable, mesmerizing series"" (Library Journal starred review), ""...Twists and turns are handled with a positively Hitchcockian touch, while the brilliantly etched characters, polished writing, and unexpected flashes of sharp humor are pure Dodd."" (Booklist starred review.)",https://www.goodreads.com/series/131873-virtue-falls
517,A Dixie Hemingway Mystery,11,11,"Dixie Hemingway knows first-hand that many things in life are worse than a dirty litter box. Once happy as a Florida sheriff's deputy, she lost everything when senseless tragedy shattered her world. Now Dixie laces up her sneakers, grabs some kitty treats, and copes with life one day at a time as a pet-sitter. Her investigations deal strictly with ""crimes"" such as who peed on the bed . . . until she finds a dead man face down in an Abyssinian's water bowl. With the local cops stymied--including a handsome detective who catches her eye--she decides to clip a leash on a lead or two and go sleuthing herself. So begins this cozy mystery series, in which Dixie collars many a criminal. http://us.macmillan.com/series/DixieHemingwayMysteries",https://www.goodreads.com/series/42513-a-dixie-hemingway-mystery
518,Detective Murdoch,8,11,William Murdoch is a Toronto police detective. The series is set in the late 19th century.,https://www.goodreads.com/series/43586-detective-murdoch
519,Cattarina Mysteries,3,3,"Full of Victorian witticisms and rich, historical detail, this cozy cat mystery is a fictional account of Edgar Allan Poe's real-life animal companion. Fans of historical and animal mysteries are sure to like this series.",https://www.goodreads.com/series/139815-cattarina-mysteries
520,Jack Irish,4,6,"Jack Irish, a lawyer and gambler, turned debt collector and people finder, in Melbourne, Australia:",https://www.goodreads.com/series/58484-jack-irish
521,Yusuf Khalifa,3,3,"Yusuf Khalifa, a police detective in Luxor, Egypt:",https://www.goodreads.com/series/67688-yusuf-khalifa
522,Sergeants Sueno and Bascom,12,13,"George Sueno and Ernie Bascom, US military police officers in 1960s-1970s Seoul, South Korea:",https://www.goodreads.com/series/65154-sergeants-sue-o-and-bascom
523,"Kendra Ballantyne, Pet-Sitter Mystery",9,9,Kendra Ballantyne is an attorney and part-time pet-sitter in Los Angeles.,https://www.goodreads.com/series/50787-kendra-ballantyne-pet-sitter-mystery
524,Lady Justice,27,27,Mystery/comedy series about a 65-year-old retired guy that decides to be a cop.,https://www.goodreads.com/series/53947-lady-justice
525,Charlie Moon,17,17,"Charlie Moon is a rancher and sometime tribal police investigator on the Southern Colorado Ute reservation. To solve mysteries, he calls on his own cleverness and on his Aunt Daisy Perika, a tribal shaman with prophetic dreams and supernatural intuition. In these complex and gripping crime novels, James D. Doss combines mystery with vibrant details of Native American life and custom. http://us.macmillan.com/series/CharlieMoonMysteries",https://www.goodreads.com/series/40964-charlie-moon
526,A Do-It-Yourself Mystery,7,7,The Do-It-Yourself mysteries feature textile designer Avery Baker.,https://www.goodreads.com/series/45949-a-do-it-yourself-mystery
527,No. 1 Ladies' Detective Agency,18,25,"Featuring Precious Ramotswe - Botswana's leading, and only, female private detective. Note:is a children's book series featuring young Precious Ramotswe.",https://www.goodreads.com/series/43418-no-1-ladies-detective-agency
528,Joe Sandilands,13,14,"Commander Joe Sandilands, a Scotland Yard detective assigned to post-WWI India:",https://www.goodreads.com/series/42948-joe-sandilands
529,The 39 Clues,11,14,The 39 Clues books feature 14-year-old Amy Cahill and her younger brother Dan on a quest to discover the secret behind their family's power. The first 10 books follows the Clue Hunt. The 11th transitions to the spin-off series. Two companion novels just add depth to the series. This Series Currently Has 5 Spin Off Series: *,https://www.goodreads.com/series/45556-the-39-clues
530,Soap,3,3,A romance series. Official webpage: http://www.theoriginalheathergraham.com/#!soap-series/c4fo,https://www.goodreads.com/series/60291-soap
531,Professor Simon Shaw,5,5,"Simon Shaw, a professor of history in Raleigh, North Carolina:",https://www.goodreads.com/series/65365-professor-simon-shaw
532,Wilson & McLeish,7,7,"John McLeish, DCI, and Francesca Wilson, a civil servant turned housewife, in London, England:",https://www.goodreads.com/series/112193-wilson-mcleish
533,Merci Rayborn,3,4,"Merci Rayborn, a sheriff's deputy in Orange County, California:",https://www.goodreads.com/series/72394-merci-rayborn
534,Inspector Kari Vaara,5,5,"Kari Vaara, police chief in the town of Kittila, Lapland, later a homicide inspector in Helsinki, Finland. James Thompson died in 2014 and #5 in the series, Helsinki Dead, was unfinished. Publication has been cancelled.",https://www.goodreads.com/series/57865-inspector-kari-vaara
535,John Madden,5,5,"Inspector John Madden of Scotland Yard, a shell-shocked veteran of World War I:",https://www.goodreads.com/series/42510-john-madden
536,Captain Lacey Mysteries,12,19,"Captain Gabriel Lacey, a former cavalry officer in Regency-era London, England:",https://www.goodreads.com/series/40594-captain-lacey
537,Many Lives,7,10,"In a world full of shifters, vampires and immortals, Many Livesis a paranormal romance series set in dystopian Bombay, tracing the love stories of one woman's illegitimate descendants (who are all united by the power of her infamous sword). Stories originally released as part of the UnTamed (Also released as Fated) Exhale",https://www.goodreads.com/series/156737-many-lives
538,Bob Skinner,29,29,"Robert Skinner, a high-ranking cop in Edinburgh, Scotland:",https://www.goodreads.com/series/65674-bob-skinner
539,Kate McCall Mystery,3,3,"Kate McCall is a Bunco Babe in this mystery series set at a retirement community. For those of you who aren't familiar with my Bunco Babe Mysteries, the series is being reissued in ebook form only by Beyond the Page Publishing complete with new covers and new titles. Watch for Murder Is Dicey (Whack 'n Roll) to be released August 2015 followed by Roll Over and Play Dead ('Til Dice Do Us Part) and Murder Rolls the Dice (Shake, Murder, and Roll.)",https://www.goodreads.com/series/52923-kate-mccall-mystery
540,Mad for Mod Mystery,4,5,"First known as Mad for Mod Mysteries, republished as Madison Night Mysteries. http://www.dianevallere.com/#!series-guide/t2v94",https://www.goodreads.com/series/107706-mad-for-mod-mystery
541,A Jean Fairbairn/Alasdair Cameron Mystery,7,7,"The Jean Fairbairn/Alasdair Cameron series, a new cross-genre (mystery, romance, paranormal) series featuring Michael and Rebecca Campbell-Reid from Ashes to Ashes and Dust to Dust in cameo roles.",https://www.goodreads.com/series/67205-a-jean-fairbairn-alasdair-cameron-mystery
542,Chief Inspector Armand Gamache,13,19,"Chief Inspector Armand Gamache of the Surete du Quebec digs beneath the idyllic surface of village life in Three Pines, finding long buried secrets--and facing a few of his own ghosts. Louise Penny's highly acclaimed, New York Times bestselling mystery series has won the New Blood Dagger as well as multiple Agatha, Anthony, Dilys, Arthur Ellis, and other prestigious awards. In 2010 the first book, Still Life, was cited as one of the five Mystery/Crime Novels of the Decade by Deadly Pleasures magazine. http://us.macmillan.com/series/ChiefInspectorGamacheNovel "" I wouldn't hesitate to start someone with say, Louise Penny's The Beautiful Mystery, despite the long back story. It hints at past stories that will intrigue the reader and indirectly impact the actions of the characters, but one could read it and enjoy/understand the current story without having the history. "" While one could read these stories in any order, it is recommended reading them in publication order.",https://www.goodreads.com/series/42154-chief-inspector-armand-gamache
543,Dotsy Lamb,5,5,"Dotsy Lamb, a recently divorced ancient and medieval history professor from Virginia, traveling in Europe with her friend Lettie:",https://www.goodreads.com/series/71728-dotsy-lamb
544,Tucker Wayne,2,2,James Rollins and Grant Blackwood are co-authors in two bestselling Tucker Wayne series adventures: The Kill Switch and Wark Hawk.,https://www.goodreads.com/series/124657-tucker-wayne
545,Jim Brodie,4,4,"Jim Brodie, a bilingual part-owner of Brodie Investigations, a detective agency founded by his father in Tokyo, and operator of a Japanese art and antique gallery in San Francisco, California:",https://www.goodreads.com/series/120768-jim-brodie
546,Boldt & Matthews,9,9,"Lou Boldt, a detective, and Daphne Matthews, a police psychologist in Seattle, Washington:",https://www.goodreads.com/series/41530-boldt-matthews
547,Berger and Mitry,11,11,"Mitch Berger is a film critic and Desiree ""Des"" Mitry is a Connecticut police trooper.",https://www.goodreads.com/series/50953-berger-and-mitry
548,Catherine Ling,4,6,"Catherine Ling: raised on the streets of Hong Kong, she has been a shadowy CIA Operative since she was fourteen years old. Now, years later, Catherine is as lethal as she is beautiful. There are only a few things in life she cares for. One is her son. Kidnapped when he was only two, Catherine has only recently been reunited with him and the vow of her heart is never to let him face danger again. The other is her mentor, Hu Chang. Mysterious, brilliant, and deadly, Hu Chang taught Catherine everything she knows and she is loyal to him.",https://www.goodreads.com/series/78155-catherine-ling
549,Tradd Street,5,5,"Melanie Middleton, inheriting an historic home with ghosts, in Charleston, South Carolina:",https://www.goodreads.com/series/53562-tradd-street
550,Dan Sharp Mystery,5,5,"Dan Sharp, a missing persons investigator and gay single father in Toronto, Ontario, Canada.",https://www.goodreads.com/series/84835-dan-sharp-mystery
551,Capitol K-9 Unit,7,8,Capitol K-9 Unit: These lawmen solve the toughest cases with the help of their brave canine partners.,https://www.goodreads.com/series/145627-capitol-k-9-unit
552,SPQR,13,20,"Mystery series set in Ancient Rome. Decius Cecilius Metellus is described as 'a would-be playboy son of an illustrious family'. The books are described as 'fast-paced', 'accurate', 'evocative'. Decius is an investigator who works his way into the Roman bureaucracy.",https://www.goodreads.com/series/51042-spqr
553,Mac McCorkle,4,4,"""Mac"" McCorkle, a saloon owner, and Mike Padillo, a spy, in Bonn, Germany:",https://www.goodreads.com/series/86218-mac-mccorkle
554,Inspector Sloan,25,26,British Detective Chief Inspector Sloan and Constable Crosby investigate murders,https://www.goodreads.com/series/60320-inspector-sloan
555,Walt Longmire,13,23,Walt Longmire is Sheriff of Wyoming's Absaroka County.,https://www.goodreads.com/series/41170-walt-longmire
556,Isabella Rose,3,3,"A spin-off from the Beatrix Rose Trilogy, involving the daughter of Beatrix Rose.",https://www.goodreads.com/series/161359-isabella-rose
557,Embassy Row,3,5,"This exciting new series focuses on Grace, who can best be described as a daredevil, an Army brat, and a rebel. She is also the only granddaughter of perhaps the most powerful ambassador in the world, and Grace has spent every summer of her childhood running across the roofs of Embassy Row. Now, at age sixteen, she's come back to stay-- in order to solve the mystery of her mother's death. In the process, she uncovers an international conspiracy of unsettling proportions, and must choose her friends and watch her foes carefully if she and the world are to be saved.",https://www.goodreads.com/series/106659-embassy-row
558,Lizzie Martin,5,5,"Lizzie Martin, a companion to a wealthy widow in 1860s London, England. Lizzie later goes on to marry Ben Ross, as such the series is referred to as ""Inspector Ben Ross"" in the US, however the author's website lists the series under its original name.",https://www.goodreads.com/series/42596-lizzie-martin
559,Sunny Randall,6,7,"Sunny Randall, a private eye in Boston, Massachusetts:",https://www.goodreads.com/series/49740-sunny-randall
560,The Karla Trilogy,3,4,"In John le Carre's magnum opus, British spymaster George Smiley squares off against his Soviet nemesis, known only as Karla, on a global stage that has become a moral gray zone.",https://www.goodreads.com/series/101438-the-karla-trilogy
561,Kurland St. Mary Mystery,5,5,"Robert Kurland, an army major wounded at Waterloo, and his childhood friend and housekeeper, Lucy Harrington, the rector's daughter, in Kurland St. Mary, in Regency England:",https://www.goodreads.com/series/120431-kurland-st-mary-mystery
562,Sam Capra,5,6,"Sam Capra, a brilliant CIA agent who is set up and loses everything",https://www.goodreads.com/series/62863-sam-capra
563,Bounty Hunters,3,3,Bounty Hunters: Finding justice one fugitive at a time,https://www.goodreads.com/series/164584-bounty-hunters
564,Erast Fandorin Mysteries,14,17,"Erast Fandorin, a sleuth in 19th century St. Petersburg, Russia:",https://www.goodreads.com/series/42752-erast-fandorin-mysteries
565,Miniature Mystery,9,9,The Miniature mysteries feature retired school teacher Geraldine Porter.,https://www.goodreads.com/series/45431-miniature-mystery
566,Claire Reynier,5,5,Claire Reynier is an archivist and rare book buyer for the Center for Southwest Research at the University of New Mexico library.,https://www.goodreads.com/series/41201-claire-reynier
567,Matchmaker Mystery,8,10,"Romantic Mystery Series -- When a matchmaker-in-training starts stumbling onto murders, does she have any other choice but to put on her sleuthing hat to solve them?",https://www.goodreads.com/series/209051-matchmaker-mysteries
568,Callahan Garrity Mystery,8,11,"Callahan Garrity, cleaning business owner in Atlanta, Georgia:",https://www.goodreads.com/series/43227-callahan-garrity-mystery
569,Inspector Challis,7,7,"Hal Challis, a Detective Inspector on the Peninsula south-east of Melbourne, Australia:",https://www.goodreads.com/series/59891-peninsula-crimes
570,Dan Lenson,17,17,"Dan Lenson, a US Navy officer, rising through the ranks, on duty around the world: Reading order recommended on : The Circle, The Med, The Passage, Tomahawk, The Gulf, China Sea, Black Storm, The Command, The Threat, Korea Strait, The Weapon, The Crisis, The Towers, and The Cruiser.",https://www.goodreads.com/series/40576-dan-lenson
571,Tiller Galloway,4,4,"Lyle ""Tiller"" Galloway III, an ex-Navy Seal in Vietnam, deep-water diver, ex-con, and drifter:",https://www.goodreads.com/series/41119-tiller-galloway
572,Makana,6,6,"Makana, a political refugee and former Sudanese police inspector, now a low-rent private investigator, in Cairo, Egypt:",https://www.goodreads.com/series/96581-makana
573,Deborah Knott Mysteries,20,23,"Deborah Knott, district judge in North Carolina in a mystery series.",https://www.goodreads.com/series/41159-deborah-knott-mysteries
574,Amanda Jaffe,5,5,"Amanda Jaffe, an attorney in Portland, Oregon:",https://www.goodreads.com/series/67687-amanda-jaffe
575,A Nina Quinn Mystery,7,7,Nina Quinn is a landscaper specializing in surprise garden makeovers.,https://www.goodreads.com/series/42002-nina-quinn
576,Maggie O'Dell,12,19,"Maggie O'Dell, a FBI Criminal Profiler is a spin-off from this series. http://alexkava.com/faqs/",https://www.goodreads.com/series/41880-maggie-o-dell
577,Frank Quinn,10,15,Book one in this series is also book four in the series. Retired police captain Frank Quinn and his PI team are special consultants to the NYPD hunting serial killers.,https://www.goodreads.com/series/53850-frank-quinn
578,Captain Alexei Dimitrevich Korolev,3,3,"Alexei Korolev, a captain in the militia's Criminal Investigation Division under Stalin, in 1930s Moscow, Russia",https://www.goodreads.com/series/64397-captain-alexei-dimitrevich-korolev
579,Dr. Siri Paiboun,12,13,"Dr. Siri Paiboun, a French-trained physician, is the national coroner of Laos. The series is set in the mid-1970s.",https://www.goodreads.com/series/49714-dr-siri-paiboun
580,Vicky Bliss,7,7,"For those unfamiliar with Vicky Bliss, she is the hero of an Elizabeth Peters mystery series, an art historian with a specialty in medieval Europe who works at the National Museum in Munich. Her work brings her into the realm of brilliant artists and cold-blooded killers, forgers and art thieves, embroiling her in danger--and with one art thief, in particular--romance.",https://www.goodreads.com/series/40620-vicky-bliss
581,Frank Renzi,6,7,"A crime fiction series featuring Homicide Detective Frank Renzi. The first three books are set in New Orleans. However, prior to moving to New Orleans, Renzi worked for the police department in Boston.",https://www.goodreads.com/series/81803-frank-renzi
582,Victoria Square,4,4,"Katie Bonner, manager of Artisans Alley and an amateur sleuth, in the Victoria Square mysteries:",https://www.goodreads.com/series/51342-victoria-square-mystery
583,Matt Sinclair,3,4,"Police procedural. Sergeant Matt Sinclair is a tough, smart, and tenacious Homicide Detective. He's also known to be reckless, cocky, and he doesn't acknowledge his superiors as the boss.",https://www.goodreads.com/series/144911-matt-sinclair
584,Charlotte & Thomas Pitt,32,34,"Thomas Pitt is a police inspector in Victorian London. The series also features his wife, Charlotte.",https://www.goodreads.com/series/40488-charlotte-thomas-pitt
585,Faith Fairchild,24,25,Faith Fairchild is a caterer and amateur sleuth in the small Massachusetts town of Alford.,https://www.goodreads.com/series/40685-faith-fairchild
586,Faces of Evil,11,14,"The Faces of Evil series is a romantic suspense series featuring 42 year old Deputy Chief Jess Harris, a former profiler for the FBI. After more than two decades away, Jess is back in Birmingham Alabama working with the only man who ever broke her heart, Chief of Police Dan Burnett. They work together to find a serial killer known as ""The Player"". http://www.thefacesofevil.com/characters/",https://www.goodreads.com/series/71717-faces-of-evil
587,Coffeehouse Mystery,18,18,"Clare Cosi, manager of the Village Blend, a landmark coffeehouse in New York City's Greenwich Village, in the Coffeehouse mysteries:",https://www.goodreads.com/series/41961-coffeehouse-mystery
588,Baker Street Letters,5,5,Two brother lawyers lease offices on London's Baker Street and begin receiving mail addressed to Sherlock Holmes.,https://www.goodreads.com/series/58770-baker-street-letters
589,DCI Brendan Moran,3,3,"Police procedural mystery series features DCI Brendan Moran, world-weary veteran of 1970s Ireland",https://www.goodreads.com/series/154942-dci-brendan-moran
590,Jake Fonko,7,9,"""The Jake Fonko books blend action, adventure and humor with authentic historical events to create a reading experience recalling the best parts of Flashman, Travis McGee and James Bond. From Iran to Cambodia, Northern Ireland to the Philippines, Jake always seems to pop up when something historically momentous is afoot.""",https://www.goodreads.com/series/146781-jake-fonko
591,Kate Ivory,14,14,"Kate Ivory, a novelist turned amateur detective in Oxford, England:",https://www.goodreads.com/series/59058-kate-ivory
592,Helen Grace,9,9,"Helen Grace, a detective inspector in the south of England:",https://www.goodreads.com/series/138119-helen-grace
593,Peter Grant,7,14,"EN: Peter Grant US: Rivers of London FR: Le Dernier Apprenti Sorcier PT: Enigmas de Londres DE: Peter Grant IT: Peter Grant ES: Peter Grant These are the adventures of Peter Grant, a young officer in the Metropolitan Police; who, following an unexpected encounter with a ghost, is recruited into the small branch of the Met that deals with magic and the supernatural. For more detail on the comics/graphic novels see: ""Rivers of London"" is the title of the first novel (Midnight Riot is the U.S. title). Wikipedia is using this as the name of the series, as is (at least) my local library. http://en.wikipedia.org/wiki/Rivers_of_London_(novel). On the cover of Broken Homes, it has ""The international bestselling Rivers of London"" series.",https://www.goodreads.com/series/51937-rivers-of-london
594,James Bond - Extended Series,39,68,"James Bond 007 is an agent for the British Secret Service. Books by Ian Fleming and continuation writers to whom Fleming's estate has given a Licence to Write. Trigger Mortis (Horowitz and Fleming, 2015) continues directly on from Goldfinger (#7, Fleming) Colonel Sun (Amis, 1968) and Devil May Care (Faulks, 2008) and Solo (Boyd, 2013) are set shortly after the end of the original Fleming stories.",https://www.goodreads.com/series/49397-james-bond---extended-series
595,A Memphis BBQ Mystery,4,4,"Lulu Taylor, owner of Aunt Pat's rib joint, in Memphis, Tennessee, in the Memphis Barbeque mysteries:",https://www.goodreads.com/series/78616-a-memphis-bbq-mystery
596,Lady Emily,12,15,"Lady Emily Ashton moves in the most exclusive circles of Victorian London. But behind the veneer of sumptuous drawing rooms and ballrooms, even the aristocracy is not immune to burglary, betrayals and brutal murders. Follow Lady Emily through country estates and Mayfair mansions, on Continental excursions and journeys to exotic locales, as she uncovers clues--and romance--in this historical mystery series from Tasha Alexander. http://us.macmillan.com/series/LadyEmilyMysteries",https://www.goodreads.com/series/43429-lady-emily-ashton-mysteries
597,Logan McRae,12,20,"Logan McRae, a detective sergeant in Aberdeen, Scotland:",https://www.goodreads.com/series/55946-logan-mcrae
598,Inspector Rudd,20,20,"Jack Rudd, a detective inspector in Essex, England: Originally the Inspector ""Finch"" series, in the UK, but renamed ""Rudd"" in the US starting with the second book, to avoid conflict with a series written by Margaret Erskine.",https://www.goodreads.com/series/83996-inspector-rudd
599,Women of Justice,3,4,The Women of Justice mysteries feature various women of different professions.,https://www.goodreads.com/series/49972-women-of-justice
600,Sean King & Michelle Maxwell,6,10,"Michelle Maxwell and Sean King are former Secret Service agents turned private investigators in Washington, DC, and Virginia.",https://www.goodreads.com/series/43565-sean-king-michelle-maxwell
601,Cut & Run,9,11,"series is set in the same universe as Cut & Run. [book: Warrior's Cross | 6782412] is about plot characters who appear in fifth book. It's best to read it as between Divide & Conquer and Armed & Dangerous if you want background story, but it's not necessary to read it.",https://www.goodreads.com/series/51811-cut-run
602,The Pet Shop Society,3,3,"Perfect for fans of The Hardy Boys, Nancy Drew, Encyclopeida Brown, Bunnicula, and the Baby Sitters Club.",https://www.goodreads.com/series/158517-the-pet-shop-society
603,Aberystwyth Noir,6,6,"Louie Knight, a private investigator in Aberystwyth, Wales, in a comic Welsh noir series:",https://www.goodreads.com/series/49098-aberystwyth-noir
604,Kate Martinelli,5,6,"Kate Martinelli, lesbian homicide detective, and homicide detective Alonzo Hawkin, in San Francisco, California:",https://www.goodreads.com/series/42220-kate-martinelli
605,A Charlie Swift Mystery,3,3,"Charlotte ""Charlie"" Swift, a former Air Force investigator, now working as a private investigator, in Colorado Springs, Colorado:",https://www.goodreads.com/series/63420-a-charlie-swift-mystery
606,Rebekah Roberts,3,3,"Rebekah Roberts, a reporter in New York City, looking for her mother in the Brooklyn Hasidic community:",https://www.goodreads.com/series/121134-rebekah-roberts
607,Sex & Mayhem,10,10,"The books in the Sex & Mayhem series will generally be standalones, tied only loosely by cameos and mentions of clubs.",https://www.goodreads.com/series/131675-sex-mayhem
